"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","login-api-013请求体传空格","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","1771","add-009快速连续点击两次确定仅添加一条用户","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","369","login-033刷新页面后登录，账号错误","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","95","login-api-026账号为"" ""","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","101","login-api-028账号中有空格","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","1437","del-004删除admin用户","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","118","select-api-007url拼接参数","testCases.api","2026-04-13","passed","2026-04-13","TestSelectId","test_api_SelectUser","",""
"","185","login-api-029密码中有空格","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","91","login-api-032账号左右账号有空格","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","82","select-api-002无token","testCases.api","2026-04-13","passed","2026-04-13","TestSelectId","test_api_SelectUser","",""
"","184","login-api-035账号密码不正确","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","4178","add-006添加正常状态用户后账号可正常登录","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","90","login-api-012请求体不合json格式","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","1686","add-001只填必填项","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","1977","alter-005修改指定用户，指定部门","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","117","select-api-008url有中文特殊符号","testCases.api","2026-04-13","passed","2026-04-13","TestSelectId","test_api_SelectUser","",""
"","85","login-api-011请求头不写Content-Type","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","1507","add-008添加正常状态用户显示信息","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","5134","login-036登录成功后后退","testCases.web","2026-04-13","failed","2026-04-13","","test_user_manage","",""
"","88","login-api-019账号为空","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
